坍落度识别批量处理报告
==================================================

处理时间: 2025-09-15 14:05:48
总图片数: 552
平均置信度: 53.41%

分类统计:
------------------------------
类别10_185-190: 16 张 (2.9%)
类别17_220-225: 2 张 (0.4%)
类别9_181-184: 534 张 (96.7%)

详细结果:
------------------------------
7_28_16_53-185_001.jpg: 类别10_185-190 (46.59%)
7_28_16_53-185_002.jpg: 类别9_181-184 (47.49%)
7_28_16_53-185_003.jpg: 类别10_185-190 (36.69%)
7_28_16_53-185_004.jpg: 类别10_185-190 (37.43%)
7_28_16_53-185_005.jpg: 类别9_181-184 (43.30%)
7_28_16_53-185_006.jpg: 类别9_181-184 (40.84%)
7_28_16_53-185_007.jpg: 类别10_185-190 (34.10%)
7_28_16_53-185_008.jpg: 类别9_181-184 (44.69%)
7_28_16_53-185_009.jpg: 类别9_181-184 (33.50%)
7_28_16_53-185_010.jpg: 类别9_181-184 (40.58%)
7_28_16_53-185_011.jpg: 类别9_181-184 (45.28%)
7_28_16_53-185_012.jpg: 类别9_181-184 (53.11%)
7_28_16_53-185_013.jpg: 类别10_185-190 (39.97%)
7_28_16_53-185_014.jpg: 类别10_185-190 (42.65%)
7_28_16_53-185_015.jpg: 类别9_181-184 (41.49%)
7_28_16_53-185_016.jpg: 类别9_181-184 (43.68%)
7_28_16_53-185_017.jpg: 类别9_181-184 (50.90%)
7_28_16_53-185_018.jpg: 类别9_181-184 (56.50%)
7_28_16_53-185_019.jpg: 类别9_181-184 (40.17%)
7_28_16_53-185_020.jpg: 类别10_185-190 (40.60%)
7_28_16_53-185_021.jpg: 类别9_181-184 (48.15%)
7_28_16_53-185_022.jpg: 类别10_185-190 (45.19%)
7_28_16_53-185_023.jpg: 类别9_181-184 (42.21%)
7_28_16_53-185_024.jpg: 类别9_181-184 (53.93%)
7_28_16_53-185_025.jpg: 类别9_181-184 (36.16%)
7_28_16_53-185_026.jpg: 类别9_181-184 (41.30%)
7_28_16_53-185_027.jpg: 类别9_181-184 (40.65%)
7_28_16_53-185_028.jpg: 类别9_181-184 (46.44%)
7_28_16_53-185_029.jpg: 类别9_181-184 (49.70%)
7_28_16_53-185_030.jpg: 类别9_181-184 (50.88%)
7_28_16_53-185_031.jpg: 类别9_181-184 (48.87%)
7_28_16_53-185_032.jpg: 类别9_181-184 (51.32%)
7_28_16_53-185_033.jpg: 类别9_181-184 (42.16%)
7_28_16_53-185_034.jpg: 类别9_181-184 (41.39%)
7_28_16_53-185_035.jpg: 类别9_181-184 (54.64%)
7_28_16_53-185_036.jpg: 类别9_181-184 (58.18%)
7_28_16_53-185_037.jpg: 类别17_220-225 (19.92%)
7_28_16_53-185_038.jpg: 类别9_181-184 (30.35%)
7_28_16_53-185_039.jpg: 类别9_181-184 (45.03%)
7_28_16_53-185_040.jpg: 类别9_181-184 (55.83%)
7_28_16_53-185_041.jpg: 类别9_181-184 (53.75%)
7_28_16_53-185_042.jpg: 类别9_181-184 (53.66%)
7_28_16_53-185_043.jpg: 类别9_181-184 (52.46%)
7_28_16_53-185_044.jpg: 类别9_181-184 (57.44%)
7_28_16_53-185_045.jpg: 类别9_181-184 (54.18%)
7_28_16_53-185_046.jpg: 类别9_181-184 (55.74%)
7_28_16_53-185_047.jpg: 类别9_181-184 (51.68%)
7_28_16_53-185_048.jpg: 类别9_181-184 (54.99%)
7_28_16_53-185_049.jpg: 类别9_181-184 (53.49%)
7_28_16_53-185_050.jpg: 类别9_181-184 (54.13%)
7_28_16_53-185_051.jpg: 类别9_181-184 (59.95%)
7_28_16_53-185_052.jpg: 类别9_181-184 (59.49%)
7_28_16_53-185_053.jpg: 类别9_181-184 (57.88%)
7_28_16_53-185_054.jpg: 类别9_181-184 (62.12%)
7_28_16_53-185_055.jpg: 类别9_181-184 (47.56%)
7_28_16_53-185_056.jpg: 类别9_181-184 (51.78%)
7_28_16_53-185_057.jpg: 类别9_181-184 (51.43%)
7_28_16_53-185_058.jpg: 类别9_181-184 (56.99%)
7_28_16_53-185_059.jpg: 类别9_181-184 (61.06%)
7_28_16_53-185_060.jpg: 类别9_181-184 (54.73%)
7_28_16_53-185_061.jpg: 类别9_181-184 (57.15%)
7_28_16_53-185_062.jpg: 类别9_181-184 (55.60%)
7_28_16_53-185_063.jpg: 类别9_181-184 (54.38%)
7_28_16_53-185_064.jpg: 类别9_181-184 (53.39%)
7_28_16_53-185_065.jpg: 类别9_181-184 (48.42%)
7_28_16_53-185_066.jpg: 类别9_181-184 (44.10%)
7_28_16_53-185_067.jpg: 类别9_181-184 (50.46%)
7_28_16_53-185_068.jpg: 类别9_181-184 (51.14%)
7_28_16_53-185_069.jpg: 类别9_181-184 (53.86%)
7_28_16_53-185_070.jpg: 类别9_181-184 (55.04%)
7_28_16_53-185_071.jpg: 类别9_181-184 (53.24%)
7_28_16_53-185_072.jpg: 类别9_181-184 (49.82%)
7_28_16_53-185_073.jpg: 类别9_181-184 (48.76%)
7_28_16_53-185_074.jpg: 类别9_181-184 (46.51%)
7_28_16_53-185_075.jpg: 类别10_185-190 (46.59%)
7_28_16_53-185_076.jpg: 类别9_181-184 (47.49%)
7_28_16_53-185_077.jpg: 类别10_185-190 (36.69%)
7_28_16_53-185_078.jpg: 类别10_185-190 (37.43%)
7_28_16_53-185_079.jpg: 类别9_181-184 (43.30%)
7_28_16_53-185_080.jpg: 类别9_181-184 (40.84%)
7_28_16_53-185_081.jpg: 类别10_185-190 (34.10%)
7_28_16_53-185_082.jpg: 类别9_181-184 (44.69%)
7_28_16_53-185_083.jpg: 类别9_181-184 (33.50%)
7_28_16_53-185_084.jpg: 类别9_181-184 (40.58%)
7_28_16_53-185_085.jpg: 类别9_181-184 (45.28%)
